,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
144,OMC,Omnicom Group Inc,2020-10-13T12:30:00.000Z,BMO,1.05,,,EDT,-14400000.0,EQUITY
145,UNH,UnitedHealth Group Inc,2020-10-13T12:30:00.000Z,BMO,3.07,,,EDT,-14400000.0,EQUITY
146,GS,Goldman Sachs Group Inc,2020-10-13T12:30:00.000Z,BMO,4.5,,,EDT,-14400000.0,EQUITY
147,PTSI,PAM Transportation Services Inc,2020-10-13T10:59:00.000Z,TNS,0.5,,,EDT,-14400000.0,EQUITY
148,PLD,Prologis Inc,2020-10-13T12:30:00.000Z,BMO,0.32,,,EDT,-14400000.0,EQUITY
149,JNJ,Johnson & Johnson,2020-10-13T12:30:00.000Z,BMO,1.96,,,EDT,-14400000.0,EQUITY
150,LOACU,Longevity Acquisition Corp,2020-10-14T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
151,ODC,Oil-Dri Corporation of America,2020-10-14T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
152,AA,Alcoa Corp,2020-10-14T10:59:00.000Z,TNS,-0.59,,,EDT,-14400000.0,EQUITY
153,ALLY,Ally Financial Inc,2020-10-14T07:30:00.000Z,TAS,0.49,,,EDT,-14400000.0,EQUITY
154,ABT,Abbott Laboratories,2020-10-14T12:30:00.000Z,BMO,0.89,,,EDT,-14400000.0,EQUITY
155,BAC,Bank of America Corp,2020-10-14T06:45:00.000Z,TAS,0.4,,,EDT,-14400000.0,EQUITY
156,TBK,Triumph Bancorp Inc,2020-10-14T14:59:00.000Z,TNS,,,,,,EQUITY
157,CATY,Cathay General Bancorp,2020-10-14T20:00:00.000Z,AMC,0.62,,,EDT,-14400000.0,EQUITY
158,CTBI,Community Trust Bancorp Inc,2020-10-14T10:59:00.000Z,TNS,0.68,,,EDT,-14400000.0,EQUITY
159,EGBN,Eagle Bancorp Inc,2020-10-14T10:59:00.000Z,TNS,0.79,,,EDT,-14400000.0,EQUITY
160,TCBIP,Texas Capital Bancshares Inc,2020-10-14T16:00:00.000Z,TAS,,,,EDT,-14400000.0,EQUITY
161,CBSHP,Commerce Bancshares Inc,2020-10-14T06:00:00.000Z,TAS,,,,EDT,-14400000.0,EQUITY
162,TBKCP,Triumph Bancorp Inc,2020-10-14T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
163,PACW,PacWest Bancorp,2020-10-14T12:30:00.000Z,BMO,0.64,,,EDT,-14400000.0,EQUITY
164,CVCY,Central Valley Community Bancorp,2020-10-14T16:00:00.000Z,TAS,0.32,,,EDT,-14400000.0,EQUITY
165,PFBC,Preferred Bank,2020-10-14T12:30:00.000Z,BMO,1.07,,,EDT,-14400000.0,EQUITY
166,TRIB,Trinity Biotech PLC,2020-10-14T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
167,USB,U.S. Bancorp,2020-10-14T12:30:00.000Z,BMO,0.78,,,EDT,-14400000.0,EQUITY
168,UBFO,United Security Bancshares,2020-10-14T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
169,WTFCP,Wintrust Financial Corp,2020-10-14T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
170,TSCBP,TriState Capital Holdings Inc,2020-10-14T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
171,HCCI,Heritage-Crystal Clean Inc,2020-10-14T10:59:00.000Z,TNS,-0.15,,,EDT,-14400000.0,EQUITY
172,WINA,Winmark Corp,2020-10-14T12:21:00.000Z,TAS,,,,EDT,-14400000.0,EQUITY
173,FHN,First Horizon National Corp,2020-10-14T12:30:00.000Z,BMO,0.22,,,EDT,-14400000.0,EQUITY
174,SLG,SL Green Realty Corp,2020-10-14T10:59:00.000Z,TNS,-0.22,,,EDT,-14400000.0,EQUITY
